date,market,accommodation_staycation,adventure_nature,coastal_island,culinary_gastronomy,cultural_heritage,theme_parks_entertainment,urban_city
2014-12-28,US,62.3,59.2,55.1,61.5,68.9,47.2,64.64
2015-01-04,US,58.8,55.2,51.2,50.9,60.1,42.3,57.09
2015-01-11,US,59.6,57.1,53.1,53.6,64.6,45.2,57.45
2015-01-18,US,59.1,58.0,53.5,55.9,63.3,45.4,59.36
2015-01-25,US,57.9,54.9,49.7,53.2,60.4,43.4,56.0
2015-02-01,US,57.1,54.5,47.8,52.6,58.7,43.9,56.0
2015-02-08,US,61.0,57.0,51.7,60.0,60.4,45.8,60.27
2015-02-15,US,59.5,56.6,52.4,57.8,63.7,47.7,59.27
2015-02-22,US,59.2,56.6,51.6,55.1,63.1,45.4,57.91
2015-03-01,US,61.8,59.0,53.9,55.6,64.5,48.6,58.64
2015-03-08,US,62.2,61.1,57.4,57.7,64.8,49.8,59.27
2015-03-15,US,61.5,61.3,56.4,57.1,66.0,50.2,59.0
2015-03-22,US,61.6,61.3,58.1,57.5,68.0,51.1,59.82
2015-03-29,US,61.3,62.7,57.1,61.7,71.5,50.6,62.82
2015-04-05,US,61.1,62.6,57.4,58.0,70.4,50.2,61.27
2015-04-12,US,59.1,61.9,55.8,56.7,70.1,48.4,61.45
2015-04-19,US,60.7,62.7,55.5,57.3,70.4,48.4,59.55
2015-04-26,US,61.1,63.2,57.1,59.7,67.9,51.8,60.91
2015-05-03,US,67.6,65.1,58.7,61.7,66.6,54.4,61.55
2015-05-10,US,67.3,65.3,60.4,60.6,66.2,56.3,63.09
2015-05-17,US,71.4,71.7,64.5,59.0,68.1,61.0,65.09
2015-05-24,US,72.1,72.5,68.8,61.9,68.1,62.5,64.27
2015-05-31,US,72.1,68.6,66.8,60.3,67.4,63.4,65.45
2015-06-07,US,78.4,71.6,71.0,62.9,68.1,64.6,66.36
2015-06-14,US,77.1,71.2,71.2,63.7,76.4,64.3,65.36
2015-06-21,US,80.4,75.5,75.8,66.5,72.4,66.8,68.64
2015-06-28,US,81.1,78.5,77.4,67.5,70.6,75.5,69.73
2015-07-05,US,81.1,77.6,77.8,69.7,72.5,69.3,68.0
2015-07-12,US,82.2,78.2,76.2,66.3,70.7,67.7,70.91
2015-07-19,US,80.7,76.7,78.6,67.7,71.1,67.3,71.82
2015-07-26,US,82.6,77.8,77.3,68.2,73.4,68.6,69.91
2015-08-02,US,78.5,76.3,74.2,66.5,70.5,64.9,69.91
2015-08-09,US,75.5,75.1,71.7,68.1,69.3,64.3,69.73
2015-08-16,US,71.1,70.4,65.6,66.5,71.2,60.8,68.09
2015-08-23,US,64.9,68.5,61.1,66.5,67.3,54.7,64.73
2015-08-30,US,65.5,69.3,59.6,63.3,68.1,52.0,63.18
2015-09-06,US,65.1,69.5,58.7,63.8,69.5,51.0,63.18
2015-09-13,US,58.6,62.8,54.7,59.7,68.7,46.9,60.64
2015-09-20,US,59.0,62.5,53.7,59.3,73.2,47.8,59.55
2015-09-27,US,56.7,60.8,52.3,57.6,69.1,47.4,57.09
2015-10-04,US,56.7,62.7,51.6,57.8,67.3,47.4,58.45
2015-10-11,US,56.7,62.3,50.6,58.7,66.5,47.7,59.27
2015-10-18,US,52.0,56.6,47.6,56.1,62.1,45.7,56.64
2015-10-25,US,49.6,55.1,46.9,53.5,58.9,45.6,54.91
2015-11-01,US,51.6,55.8,48.0,54.9,59.0,45.5,56.27
2015-11-08,US,49.7,53.6,45.9,56.3,58.7,45.1,58.64
2015-11-15,US,52.0,53.4,44.9,56.0,59.6,44.9,59.36
2015-11-22,US,49.6,53.6,46.7,58.7,57.3,43.6,60.36
2015-11-29,US,50.1,52.5,45.9,49.9,60.1,44.3,57.0
2015-12-06,US,49.8,52.2,44.3,53.9,62.0,47.2,57.45
2015-12-13,US,53.2,55.1,46.3,56.9,59.3,45.9,65.09
2015-12-20,US,57.6,55.7,52.3,67.1,64.7,44.9,69.55
2015-12-27,US,64.6,63.4,58.2,70.2,72.9,51.1,70.27
2016-01-03,US,62.2,59.2,55.3,61.5,61.5,46.4,58.27
2016-01-10,US,59.6,56.4,52.9,60.5,61.1,44.5,59.45
2016-01-17,US,61.3,58.3,53.7,64.0,66.7,46.3,59.91
2016-01-24,US,58.9,59.5,52.8,62.3,62.9,48.4,59.09
2016-01-31,US,62.2,60.1,52.7,65.9,63.0,49.3,60.18
2016-02-07,US,63.9,60.1,55.2,68.8,65.3,51.2,63.0
2016-02-14,US,65.7,63.6,56.3,71.2,66.6,51.3,66.18
2016-02-21,US,63.1,65.0,57.5,68.7,66.0,50.8,62.18
2016-02-28,US,64.1,64.8,55.5,67.8,66.9,51.3,60.55
2016-03-06,US,64.9,66.9,59.3,69.1,68.5,51.7,59.82
2016-03-13,US,65.8,66.3,61.6,69.9,70.5,54.4,61.0
2016-03-20,US,64.4,68.4,61.7,73.3,71.6,56.4,63.09
2016-03-27,US,64.9,68.6,61.6,71.5,71.2,56.0,65.0
2016-04-03,US,65.8,67.6,60.2,70.9,70.7,54.6,61.18
