market,category,first_week,last_week,expected_weeks,observed_weeks,invalid_values,zeros,missing_weeks,observed_annual_cycles_equivalent
JP,accommodation_staycation,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
JP,adventure_nature,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
JP,coastal_island,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
JP,culinary_gastronomy,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
JP,cultural_heritage,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
JP,theme_parks_entertainment,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
JP,urban_city,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
KR,accommodation_staycation,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
KR,adventure_nature,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
KR,coastal_island,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
KR,culinary_gastronomy,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
KR,cultural_heritage,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
KR,theme_parks_entertainment,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
KR,urban_city,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
US,accommodation_staycation,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
US,adventure_nature,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
US,coastal_island,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
US,culinary_gastronomy,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
US,cultural_heritage,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
US,theme_parks_entertainment,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
US,urban_city,2014-12-28,2025-12-28,418,418,0,0,0,8.038461538461538
