,JP,KR,US
2023-01-01,50.222,43.132,58.720000000000006
2023-02-01,55.6375,44.7225,59.55
2023-03-01,54.5,41.167500000000004,63.925
2023-04-01,59.976,49.778,64.3
2023-05-01,58.417500000000004,47.11,72.125
2023-06-01,65.9175,44.332499999999996,77.95
2023-07-01,77.644,46.356,81.67999999999999
2023-08-01,74.3875,44.4725,67.675
2023-09-01,64.725,40.6375,57.9
2023-10-01,58.532,40.622,52.279999999999994
2023-11-01,53.4725,36.442499999999995,53.225
2023-12-01,52.13199999999999,35.976,54.17999999999999
