,JP,KR,US
2023-01-01,50.44,40.44,60.0
2023-01-08,51.89,40.22,60.2
2023-01-15,50.89,45.0,58.9
2023-01-22,49.22,47.78,58.4
2023-01-29,48.67,42.22,56.1
2023-02-05,56.22,44.67,58.7
2023-02-12,55.33,42.89,56.9
2023-02-19,54.67,43.89,61.5
2023-02-26,56.33,47.44,61.1
2023-03-05,54.22,38.67,63.6
2023-03-12,55.33,37.22,65.4
2023-03-19,50.89,40.67,62.9
2023-03-26,57.56,48.11,63.8
2023-04-02,54.33,43.11,65.5
2023-04-09,56.22,49.78,65.9
2023-04-16,61.33,55.22,63.1
2023-04-23,58.22,50.56,63.6
2023-04-30,69.78,50.22,63.4
2023-05-07,57.78,48.22,64.2
2023-05-14,58.33,45.33,68.9
2023-05-21,60.67,48.33,76.1
2023-05-28,56.89,46.56,79.3
2023-06-04,62.89,45.0,74.5
2023-06-11,63.56,45.89,76.8
2023-06-18,70.89,47.44,79.1
2023-06-25,66.33,39.0,81.4
2023-07-02,76.11,42.44,88.3
2023-07-09,77.78,45.67,82.7
2023-07-16,79.22,43.67,80.6
2023-07-23,80.78,50.67,81.2
2023-07-30,74.33,49.33,75.6
2023-08-06,80.44,49.22,72.8
2023-08-13,78.11,47.44,69.2
2023-08-20,69.89,40.67,65.3
2023-08-27,69.11,40.56,63.4
2023-09-03,64.78,40.44,60.9
2023-09-10,64.67,42.22,57.2
2023-09-17,66.56,41.11,58.4
2023-09-24,62.89,38.78,55.1
2023-10-01,59.44,47.0,52.8
2023-10-08,59.0,36.33,52.6
2023-10-15,58.89,42.33,53.1
2023-10-22,58.11,35.78,53.9
2023-10-29,57.22,41.67,49.0
2023-11-05,55.0,37.11,54.9
2023-11-12,53.0,37.44,55.2
2023-11-19,53.67,36.22,53.7
2023-11-26,52.22,35.0,49.1
2023-12-03,50.22,34.44,50.2
2023-12-10,49.33,32.22,50.6
2023-12-17,50.67,36.22,50.9
2023-12-24,50.22,36.11,59.7
2023-12-31,60.22,40.89,59.5
