date,market,accommodation_staycation,adventure_nature,coastal_island,culinary_gastronomy,cultural_heritage,theme_parks_entertainment,urban_city
2014-12-28,JP,45.89,41.9,34.56,53.11,49.0,37.88,69.73
2015-01-04,JP,46.56,41.5,38.56,51.0,46.8,37.88,63.64
2015-01-11,JP,49.44,43.2,40.33,54.0,51.1,31.88,66.36
2015-01-18,JP,46.33,40.0,37.56,55.0,45.4,28.62,63.45
2015-01-25,JP,45.67,38.2,37.11,54.22,45.0,28.38,63.09
2015-02-01,JP,45.67,40.3,36.44,53.33,45.1,29.88,63.64
2015-02-08,JP,48.44,48.4,35.44,57.22,45.7,32.38,66.91
2015-02-15,JP,49.0,48.7,40.44,57.67,44.3,29.88,65.36
2015-02-22,JP,47.44,46.5,37.11,56.78,45.6,32.12,65.55
2015-03-01,JP,49.33,41.4,39.44,58.78,45.6,31.38,63.45
2015-03-08,JP,49.22,40.1,40.67,59.33,44.3,33.62,66.55
2015-03-15,JP,50.44,45.5,47.0,61.56,47.4,42.25,67.36
2015-03-22,JP,49.0,47.7,45.89,59.89,49.3,40.88,68.55
2015-03-29,JP,45.56,44.5,41.0,59.33,49.5,38.5,68.64
2015-04-05,JP,46.22,43.9,42.0,57.33,49.0,30.38,66.0
2015-04-12,JP,48.89,49.9,43.67,59.0,52.5,38.88,69.64
2015-04-19,JP,51.56,49.7,47.44,60.22,52.1,36.0,72.45
2015-04-26,JP,60.0,64.2,60.0,69.78,58.3,47.25,79.09
2015-05-03,JP,57.33,67.0,60.11,78.11,67.4,53.62,81.73
2015-05-10,JP,48.67,53.6,49.0,59.56,51.9,32.5,70.45
2015-05-17,JP,49.56,54.9,48.22,60.44,50.8,34.75,68.55
2015-05-24,JP,48.78,51.7,57.67,56.11,48.0,34.25,68.73
2015-05-31,JP,50.44,55.1,50.78,58.22,49.7,33.88,68.64
2015-06-07,JP,50.89,56.8,50.89,56.67,50.1,34.62,69.73
2015-06-14,JP,54.33,56.1,51.11,59.22,47.8,36.0,70.27
2015-06-21,JP,54.22,49.9,52.11,58.78,48.7,35.62,69.0
2015-06-28,JP,57.0,58.9,49.11,55.0,48.7,34.75,69.09
2015-07-05,JP,60.78,56.9,55.78,60.89,57.6,39.38,70.82
2015-07-12,JP,66.89,63.9,56.56,61.56,53.1,41.88,70.73
2015-07-19,JP,71.33,68.0,60.89,67.78,58.9,54.62,75.36
2015-07-26,JP,74.22,65.4,61.56,63.89,58.5,53.25,73.0
2015-08-02,JP,78.0,66.9,72.0,65.0,58.9,59.62,75.82
2015-08-09,JP,84.44,72.4,74.78,74.89,64.5,66.25,79.27
2015-08-16,JP,73.0,65.5,57.33,63.22,54.4,52.62,72.18
2015-08-23,JP,67.33,57.6,51.78,61.33,51.7,44.38,68.09
2015-08-30,JP,65.11,60.3,47.56,62.11,53.6,38.0,69.45
2015-09-06,JP,61.56,59.7,46.22,58.89,51.5,34.75,71.45
2015-09-13,JP,64.67,64.6,49.67,63.44,54.1,39.12,70.91
2015-09-20,JP,63.44,64.4,50.67,73.56,62.7,54.12,75.73
2015-09-27,JP,51.33,60.8,44.44,56.11,50.9,35.75,65.73
2015-10-04,JP,54.22,57.1,45.89,61.0,56.9,39.62,67.55
2015-10-11,JP,55.11,59.9,46.33,63.67,58.0,42.0,69.64
2015-10-18,JP,51.11,54.8,42.33,59.56,58.1,42.12,65.64
2015-10-25,JP,49.67,49.3,40.44,58.78,57.2,37.62,65.55
2015-11-01,JP,51.44,51.9,39.67,60.44,57.6,37.88,64.82
2015-11-08,JP,52.11,44.7,40.56,64.89,52.6,31.62,64.09
2015-11-15,JP,49.89,43.2,38.67,58.78,49.7,35.75,64.09
2015-11-22,JP,46.56,45.1,37.78,56.56,49.2,33.38,65.91
2015-11-29,JP,45.89,37.2,37.11,55.78,45.1,31.75,65.36
2015-12-06,JP,45.11,40.0,35.89,55.33,43.6,30.38,65.18
2015-12-13,JP,46.78,36.1,36.67,56.0,46.5,30.75,67.64
2015-12-20,JP,45.11,40.2,33.11,53.89,42.4,35.38,74.27
2015-12-27,JP,49.33,43.7,38.0,58.11,50.8,43.38,70.82
2016-01-03,JP,50.78,44.2,40.56,54.22,47.8,36.88,64.18
2016-01-10,JP,49.89,43.0,37.56,55.11,46.4,34.38,65.0
2016-01-17,JP,48.44,38.8,37.33,52.56,39.9,30.75,63.73
2016-01-24,JP,49.22,41.2,41.56,55.11,41.1,31.25,64.82
2016-01-31,JP,50.89,41.2,42.44,56.33,43.9,33.38,65.55
2016-02-07,JP,50.89,42.9,42.44,61.44,45.3,35.62,66.73
2016-02-14,JP,52.22,41.6,42.22,59.0,42.9,34.62,65.18
2016-02-21,JP,52.44,42.2,38.89,57.89,44.2,36.62,66.64
2016-02-28,JP,52.89,41.2,40.0,58.22,49.1,38.5,68.0
2016-03-06,JP,56.0,41.3,39.78,60.56,48.2,40.5,67.55
2016-03-13,JP,55.67,43.9,38.44,62.0,47.1,44.88,66.82
2016-03-20,JP,53.33,46.4,44.0,65.11,51.8,48.75,70.91
2016-03-27,JP,50.22,45.4,39.44,67.33,55.4,46.25,70.73
2016-04-03,JP,51.11,48.3,42.89,61.22,52.1,38.62,71.55
2016-04-10,JP,52.67,50.4,42.0,59.78,51.3,37.5,67.0
2016-04-17,JP,55.22,50.6,42.11,62.0,49.0,35.38,69.45
2016-04-24,JP,62.67,60.8,44.0,72.56,54.6,47.12,73.27
2016-05-01,JP,65.89,68.1,54.33,87.11,63.6,65.0,79.36
2016-05-08,JP,55.11,56.7,45.89,61.78,48.1,37.5,67.09
2016-05-15,JP,54.67,56.1,46.89,63.56,48.9,38.0,67.09
2016-05-22,JP,56.33,54.3,45.56,60.78,47.0,38.25,67.82
2016-05-29,JP,65.0,56.2,45.67,60.56,46.4,38.75,66.55
2016-06-05,JP,62.56,54.6,44.78,62.78,48.1,39.88,67.55
2016-06-12,JP,63.67,54.0,50.78,63.0,45.8,36.12,67.55
2016-06-19,JP,63.67,56.1,47.78,59.44,48.5,40.88,68.55
2016-06-26,JP,65.67,56.5,53.33,60.0,47.2,49.0,67.18
2016-07-03,JP,73.22,62.7,58.22,65.0,50.7,47.88,70.45
2016-07-10,JP,76.22,61.9,55.33,68.67,52.2,50.0,69.18
2016-07-17,JP,78.0,64.0,55.22,65.22,56.6,58.38,70.09
2016-07-24,JP,76.89,60.4,55.44,67.56,52.9,52.38,66.45
2016-07-31,JP,81.11,67.1,59.89,67.78,59.1,62.5,69.91
2016-08-07,JP,84.33,72.3,62.0,72.11,52.5,65.75,68.73
2016-08-14,JP,73.22,63.5,55.11,61.0,51.0,61.12,66.36
2016-08-21,JP,68.33,59.4,53.22,59.44,50.7,50.88,66.82
2016-08-28,JP,70.89,63.6,50.44,61.33,50.2,44.5,71.64
2016-09-04,JP,67.78,56.5,49.11,61.33,47.5,39.12,70.27
2016-09-11,JP,67.11,55.7,46.22,63.78,49.4,38.5,69.0
2016-09-18,JP,67.0,55.7,47.44,63.44,53.5,49.12,70.82
2016-09-25,JP,55.89,56.6,44.56,59.56,49.9,43.5,68.27
2016-10-02,JP,56.11,60.4,41.56,61.22,51.7,37.38,63.45
2016-10-09,JP,55.0,56.7,41.67,64.11,54.0,45.75,65.82
2016-10-16,JP,55.33,52.0,41.67,60.0,50.3,36.62,63.82
2016-10-23,JP,53.0,50.1,41.11,57.89,50.0,33.62,63.09
2016-10-30,JP,57.44,54.3,41.67,62.0,57.3,37.38,68.0
2016-11-06,JP,53.89,49.6,38.44,59.67,49.1,34.12,64.73
2016-11-13,JP,53.56,47.1,38.44,62.0,50.3,35.5,67.0
2016-11-20,JP,53.22,48.7,40.44,61.0,49.0,38.12,66.55
2016-11-27,JP,53.33,45.7,39.33,60.33,46.0,34.88,68.64
2016-12-04,JP,51.78,44.2,42.0,61.56,43.7,37.25,74.18
2016-12-11,JP,49.11,41.8,35.56,57.89,42.0,36.12,72.18
2016-12-18,JP,52.78,43.7,35.11,57.11,42.0,40.12,69.45
2016-12-25,JP,51.11,42.7,37.22,57.22,44.8,42.88,67.82
2017-01-01,JP,50.11,38.4,46.89,47.33,51.1,42.12,63.91
2017-01-08,JP,49.33,37.0,46.33,44.33,45.7,35.62,60.0
2017-01-15,JP,51.22,36.8,46.89,46.67,44.6,34.0,60.73
2017-01-22,JP,51.67,36.9,48.22,47.89,44.6,33.88,61.73
2017-01-29,JP,50.89,37.0,45.78,46.67,44.2,35.75,58.82
2017-02-05,JP,52.89,36.0,46.33,48.0,45.0,36.75,61.55
2017-02-12,JP,50.11,36.7,47.56,47.44,42.9,38.25,58.18
2017-02-19,JP,51.44,36.7,46.67,49.33,42.5,40.0,61.36
2017-02-26,JP,51.89,35.9,50.22,49.33,45.5,40.62,61.36
2017-03-05,JP,52.11,35.1,49.78,52.11,45.7,42.75,62.45
2017-03-12,JP,53.78,36.6,50.22,53.22,47.5,45.5,64.09
2017-03-19,JP,52.67,38.3,47.22,55.78,50.0,50.38,68.09
2017-03-26,JP,50.67,38.3,48.22,52.67,47.2,47.25,65.91
2017-04-02,JP,50.33,37.5,51.0,55.33,48.8,46.38,62.45
2017-04-09,JP,50.78,41.5,50.0,52.56,49.4,36.5,61.91
2017-04-16,JP,58.22,43.7,58.33,54.33,50.1,40.12,66.36
2017-04-23,JP,61.67,49.2,58.89,58.33,52.3,42.62,67.27
2017-04-30,JP,71.11,62.4,68.0,79.78,65.5,68.5,83.0
2017-05-07,JP,55.11,49.8,54.0,54.56,49.0,46.88,64.0
2017-05-14,JP,56.0,48.6,56.89,52.67,49.6,39.75,64.18
2017-05-21,JP,58.33,47.1,56.89,51.78,48.4,40.88,62.64
2017-05-28,JP,61.89,48.4,57.44,51.44,49.9,40.5,63.82
2017-06-04,JP,60.33,47.3,61.0,53.56,48.6,40.5,62.82
2017-06-11,JP,64.22,48.8,59.56,54.11,47.9,42.5,65.36
2017-06-18,JP,63.67,46.0,59.67,54.0,47.2,41.75,63.27
2017-06-25,JP,63.89,46.2,58.67,50.56,46.0,39.62,62.0
2017-07-02,JP,66.44,48.0,63.56,49.22,48.5,49.5,64.18
2017-07-09,JP,76.78,53.6,67.56,57.33,55.3,55.25,66.64
2017-07-16,JP,79.89,55.1,72.44,56.44,56.1,61.38,67.18
2017-07-23,JP,78.33,52.4,75.22,57.44,57.4,63.88,67.09
2017-07-30,JP,81.22,54.9,72.56,59.56,60.7,69.25,72.64
2017-08-06,JP,85.78,60.9,79.56,65.44,59.2,73.25,76.27
2017-08-13,JP,84.0,60.3,73.33,69.78,62.2,74.25,76.73
2017-08-20,JP,73.78,53.0,68.78,56.56,54.7,63.0,69.18
2017-08-27,JP,70.33,51.5,62.78,55.33,52.7,51.62,67.18
2017-09-03,JP,65.67,51.8,61.67,56.56,52.1,45.88,64.91
2017-09-10,JP,63.89,49.2,57.67,52.22,52.4,40.62,63.82
2017-09-17,JP,59.33,57.7,53.89,54.56,52.0,41.38,67.73
2017-09-24,JP,57.22,49.0,53.0,51.0,51.1,36.75,63.27
2017-10-01,JP,59.11,47.2,50.89,53.0,53.0,36.75,62.82
2017-10-08,JP,56.78,49.6,52.33,59.78,56.3,42.75,66.64
2017-10-15,JP,53.33,41.2,52.44,50.78,49.1,33.0,60.82
2017-10-22,JP,52.0,44.1,48.33,46.0,46.7,33.75,59.27
2017-10-29,JP,59.44,47.1,51.89,53.33,58.4,39.38,63.64
2017-11-05,JP,53.44,42.6,49.56,53.22,55.1,34.25,61.18
2017-11-12,JP,54.33,42.0,48.33,52.11,51.2,34.25,60.64
2017-11-19,JP,55.56,47.0,53.0,52.33,53.9,36.38,61.55
2017-11-26,JP,50.89,38.9,46.11,48.56,47.8,33.25,58.18
2017-12-03,JP,50.0,37.7,51.44,50.67,45.3,34.88,62.27
2017-12-10,JP,47.78,34.9,47.56,48.78,44.5,33.25,63.64
2017-12-17,JP,47.89,33.5,47.33,48.0,42.8,36.25,65.18
2017-12-24,JP,49.0,33.5,45.67,48.22,43.1,41.38,61.91
2017-12-31,JP,50.44,39.9,50.33,50.33,51.7,41.38,64.27
2018-01-07,JP,51.44,37.2,48.44,48.11,46.7,33.0,59.36
2018-01-14,JP,54.67,35.3,47.0,50.56,47.5,33.12,59.09
2018-01-21,JP,54.0,39.4,44.44,47.33,43.4,30.75,56.82
2018-01-28,JP,53.89,37.7,43.78,48.11,45.2,31.5,59.09
