date,market,accommodation_staycation,adventure_nature,coastal_island,culinary_gastronomy,cultural_heritage,theme_parks_entertainment,urban_city
2014-12-28,KR,54.9,49.7,36.67,47.22,55.6,41.2,62.45
2015-01-04,KR,40.0,49.1,34.33,52.0,51.4,45.0,58.36
2015-01-11,KR,48.1,47.2,34.22,44.89,52.5,40.7,55.91
2015-01-18,KR,40.2,49.1,35.22,41.0,54.3,45.3,60.09
2015-01-25,KR,39.5,50.7,39.56,43.44,50.0,38.5,56.0
2015-02-01,KR,41.4,48.1,34.78,35.33,54.0,43.8,56.45
2015-02-08,KR,36.5,44.5,35.22,38.44,46.5,39.7,55.09
2015-02-15,KR,46.3,49.5,37.11,39.78,48.4,43.9,58.09
2015-02-22,KR,34.5,46.1,34.67,38.56,50.4,40.9,54.09
2015-03-01,KR,39.7,48.7,31.33,49.0,49.4,34.1,57.55
2015-03-08,KR,33.6,49.9,31.0,47.33,50.6,41.4,61.55
2015-03-15,KR,33.2,54.6,29.11,43.89,48.0,40.9,69.09
2015-03-22,KR,39.9,56.0,33.33,42.44,48.3,44.3,60.45
2015-03-29,KR,32.9,55.3,31.67,46.89,49.7,46.7,66.64
2015-04-05,KR,33.3,53.7,33.0,42.0,50.0,47.5,55.18
2015-04-12,KR,34.8,54.8,35.33,56.44,48.1,43.5,53.73
2015-04-19,KR,36.7,58.3,35.89,61.0,47.0,42.0,56.91
2015-04-26,KR,47.6,61.5,39.78,60.67,47.3,45.2,55.82
2015-05-03,KR,44.5,64.9,50.78,46.33,48.7,48.0,59.55
2015-05-10,KR,51.8,60.9,45.22,46.33,46.6,46.3,56.55
2015-05-17,KR,56.0,63.0,38.67,41.33,47.3,50.1,60.27
2015-05-24,KR,49.5,61.4,40.22,41.56,48.5,46.5,55.64
2015-05-31,KR,39.1,54.7,39.78,38.67,45.5,39.6,53.55
2015-06-07,KR,32.7,53.8,41.11,37.56,44.1,40.8,52.82
2015-06-14,KR,40.2,54.8,39.89,38.44,39.2,36.3,53.09
2015-06-21,KR,43.6,57.4,39.44,40.44,42.2,37.3,55.27
2015-06-28,KR,53.5,56.9,46.22,36.67,38.0,44.5,60.0
2015-07-05,KR,54.7,54.1,46.78,41.11,39.6,54.5,55.45
2015-07-12,KR,65.9,57.7,43.44,39.11,40.7,46.4,56.64
2015-07-19,KR,58.3,57.6,52.0,44.78,40.4,46.9,55.73
2015-07-26,KR,90.1,66.0,54.89,45.33,44.8,48.9,56.91
2015-08-02,KR,76.9,73.7,58.22,42.11,44.4,50.0,57.64
2015-08-09,KR,71.4,62.0,48.56,44.0,47.9,61.2,58.55
2015-08-16,KR,61.8,53.8,47.56,39.78,46.2,62.3,57.82
2015-08-23,KR,43.6,57.1,42.56,44.11,44.4,51.1,58.73
2015-08-30,KR,46.5,52.1,38.67,37.22,45.6,43.7,59.64
2015-09-06,KR,35.0,52.0,35.44,35.33,44.7,40.8,60.55
2015-09-13,KR,37.6,52.0,34.44,43.22,51.2,41.4,54.64
2015-09-20,KR,40.3,46.6,33.44,43.0,43.0,40.6,53.45
2015-09-27,KR,37.1,54.8,33.33,46.89,49.9,51.6,58.09
2015-10-04,KR,46.1,53.4,36.44,35.44,48.2,47.8,56.73
2015-10-11,KR,38.8,56.4,38.67,31.44,51.7,43.4,59.0
2015-10-18,KR,33.5,57.8,41.56,44.89,49.8,42.4,52.55
2015-10-25,KR,44.7,56.8,41.67,34.22,44.8,42.1,52.91
2015-11-01,KR,45.3,55.5,37.67,35.78,48.6,45.1,55.91
2015-11-08,KR,34.8,43.6,38.11,43.89,53.4,38.3,56.91
2015-11-15,KR,31.1,50.8,38.0,50.11,45.4,38.6,56.36
2015-11-22,KR,34.7,41.3,35.22,42.11,45.8,31.9,55.64
2015-11-29,KR,35.3,40.2,32.67,45.22,46.5,33.9,54.09
2015-12-06,KR,33.1,42.4,39.33,46.22,46.2,40.8,54.91
2015-12-13,KR,36.8,52.1,33.33,40.67,51.6,41.0,57.18
2015-12-20,KR,37.1,39.6,36.11,48.44,53.9,45.5,62.45
2015-12-27,KR,37.8,45.9,36.44,41.44,50.8,43.6,56.55
2016-01-03,KR,36.7,46.1,32.0,37.78,43.0,35.1,51.36
2016-01-10,KR,34.4,46.8,32.44,36.0,42.0,41.0,50.36
2016-01-17,KR,43.9,50.6,30.22,33.22,48.2,39.8,50.27
2016-01-24,KR,29.7,44.1,34.0,32.67,46.3,36.0,51.0
2016-01-31,KR,34.5,45.8,32.22,33.22,40.7,37.9,51.91
