market,category,split,reason,excluded
JP,accommodation_staycation,train,pandemic_gap,63
JP,accommodation_staycation,train,target_crosses_split,11
JP,accommodation_staycation,validation,target_crosses_split,11
JP,adventure_nature,train,pandemic_gap,63
JP,adventure_nature,train,target_crosses_split,11
JP,adventure_nature,validation,target_crosses_split,11
JP,coastal_island,train,pandemic_gap,63
JP,coastal_island,train,target_crosses_split,11
JP,coastal_island,validation,target_crosses_split,11
JP,culinary_gastronomy,train,pandemic_gap,63
JP,culinary_gastronomy,train,target_crosses_split,11
JP,culinary_gastronomy,validation,target_crosses_split,11
JP,cultural_heritage,train,pandemic_gap,63
JP,cultural_heritage,train,target_crosses_split,11
JP,cultural_heritage,validation,target_crosses_split,11
JP,theme_parks_entertainment,train,pandemic_gap,63
JP,theme_parks_entertainment,train,target_crosses_split,11
JP,theme_parks_entertainment,validation,target_crosses_split,11
JP,urban_city,train,pandemic_gap,63
JP,urban_city,train,target_crosses_split,11
JP,urban_city,validation,target_crosses_split,11
KR,accommodation_staycation,train,pandemic_gap,63
KR,accommodation_staycation,train,target_crosses_split,11
KR,accommodation_staycation,validation,target_crosses_split,11
KR,adventure_nature,train,pandemic_gap,63
KR,adventure_nature,train,target_crosses_split,11
KR,adventure_nature,validation,target_crosses_split,11
KR,coastal_island,train,pandemic_gap,63
KR,coastal_island,train,target_crosses_split,11
KR,coastal_island,validation,target_crosses_split,11
KR,culinary_gastronomy,train,pandemic_gap,63
KR,culinary_gastronomy,train,target_crosses_split,11
KR,culinary_gastronomy,validation,target_crosses_split,11
KR,cultural_heritage,train,pandemic_gap,63
KR,cultural_heritage,train,target_crosses_split,11
KR,cultural_heritage,validation,target_crosses_split,11
KR,theme_parks_entertainment,train,pandemic_gap,63
KR,theme_parks_entertainment,train,target_crosses_split,11
KR,theme_parks_entertainment,validation,target_crosses_split,11
KR,urban_city,train,pandemic_gap,63
KR,urban_city,train,target_crosses_split,11
KR,urban_city,validation,target_crosses_split,11
US,accommodation_staycation,train,pandemic_gap,63
US,accommodation_staycation,train,target_crosses_split,11
US,accommodation_staycation,validation,target_crosses_split,11
US,adventure_nature,train,pandemic_gap,63
US,adventure_nature,train,target_crosses_split,11
US,adventure_nature,validation,target_crosses_split,11
US,coastal_island,train,pandemic_gap,63
US,coastal_island,train,target_crosses_split,11
US,coastal_island,validation,target_crosses_split,11
US,culinary_gastronomy,train,pandemic_gap,63
US,culinary_gastronomy,train,target_crosses_split,11
US,culinary_gastronomy,validation,target_crosses_split,11
US,cultural_heritage,train,pandemic_gap,63
US,cultural_heritage,train,target_crosses_split,11
US,cultural_heritage,validation,target_crosses_split,11
US,theme_parks_entertainment,train,pandemic_gap,63
US,theme_parks_entertainment,train,target_crosses_split,11
US,theme_parks_entertainment,validation,target_crosses_split,11
US,urban_city,train,pandemic_gap,63
US,urban_city,train,target_crosses_split,11
US,urban_city,validation,target_crosses_split,11
