market,category,split,reason,origin_week
JP,accommodation_staycation,train,pandemic_gap,2019-10-06
JP,accommodation_staycation,train,pandemic_gap,2019-10-13
JP,accommodation_staycation,train,pandemic_gap,2019-10-20
JP,accommodation_staycation,train,pandemic_gap,2019-10-27
JP,accommodation_staycation,train,pandemic_gap,2019-11-03
JP,accommodation_staycation,train,pandemic_gap,2019-11-10
JP,accommodation_staycation,train,pandemic_gap,2019-11-17
JP,accommodation_staycation,train,pandemic_gap,2019-11-24
JP,accommodation_staycation,train,pandemic_gap,2019-12-01
JP,accommodation_staycation,train,pandemic_gap,2019-12-08
JP,accommodation_staycation,train,pandemic_gap,2019-12-15
JP,accommodation_staycation,train,pandemic_gap,2019-12-22
JP,accommodation_staycation,train,pandemic_gap,2023-01-01
JP,accommodation_staycation,train,pandemic_gap,2023-01-08
JP,accommodation_staycation,train,pandemic_gap,2023-01-15
JP,accommodation_staycation,train,pandemic_gap,2023-01-22
JP,accommodation_staycation,train,pandemic_gap,2023-01-29
JP,accommodation_staycation,train,pandemic_gap,2023-02-05
JP,accommodation_staycation,train,pandemic_gap,2023-02-12
JP,accommodation_staycation,train,pandemic_gap,2023-02-19
JP,accommodation_staycation,train,pandemic_gap,2023-02-26
JP,accommodation_staycation,train,pandemic_gap,2023-03-05
JP,accommodation_staycation,train,pandemic_gap,2023-03-12
JP,accommodation_staycation,train,pandemic_gap,2023-03-19
JP,accommodation_staycation,train,pandemic_gap,2023-03-26
JP,accommodation_staycation,train,pandemic_gap,2023-04-02
JP,accommodation_staycation,train,pandemic_gap,2023-04-09
JP,accommodation_staycation,train,pandemic_gap,2023-04-16
JP,accommodation_staycation,train,pandemic_gap,2023-04-23
JP,accommodation_staycation,train,pandemic_gap,2023-04-30
JP,accommodation_staycation,train,pandemic_gap,2023-05-07
JP,accommodation_staycation,train,pandemic_gap,2023-05-14
JP,accommodation_staycation,train,pandemic_gap,2023-05-21
JP,accommodation_staycation,train,pandemic_gap,2023-05-28
JP,accommodation_staycation,train,pandemic_gap,2023-06-04
JP,accommodation_staycation,train,pandemic_gap,2023-06-11
JP,accommodation_staycation,train,pandemic_gap,2023-06-18
JP,accommodation_staycation,train,pandemic_gap,2023-06-25
JP,accommodation_staycation,train,pandemic_gap,2023-07-02
JP,accommodation_staycation,train,pandemic_gap,2023-07-09
JP,accommodation_staycation,train,pandemic_gap,2023-07-16
JP,accommodation_staycation,train,pandemic_gap,2023-07-23
JP,accommodation_staycation,train,pandemic_gap,2023-07-30
JP,accommodation_staycation,train,pandemic_gap,2023-08-06
JP,accommodation_staycation,train,pandemic_gap,2023-08-13
JP,accommodation_staycation,train,pandemic_gap,2023-08-20
JP,accommodation_staycation,train,pandemic_gap,2023-08-27
JP,accommodation_staycation,train,pandemic_gap,2023-09-03
JP,accommodation_staycation,train,pandemic_gap,2023-09-10
JP,accommodation_staycation,train,pandemic_gap,2023-09-17
JP,accommodation_staycation,train,pandemic_gap,2023-09-24
JP,accommodation_staycation,train,pandemic_gap,2023-10-01
JP,accommodation_staycation,train,pandemic_gap,2023-10-08
JP,accommodation_staycation,train,pandemic_gap,2023-10-15
JP,accommodation_staycation,train,pandemic_gap,2023-10-22
JP,accommodation_staycation,train,pandemic_gap,2023-10-29
JP,accommodation_staycation,train,pandemic_gap,2023-11-05
JP,accommodation_staycation,train,pandemic_gap,2023-11-12
JP,accommodation_staycation,train,pandemic_gap,2023-11-19
JP,accommodation_staycation,train,pandemic_gap,2023-11-26
JP,accommodation_staycation,train,pandemic_gap,2023-12-03
JP,accommodation_staycation,train,pandemic_gap,2023-12-10
JP,accommodation_staycation,train,pandemic_gap,2023-12-17
JP,accommodation_staycation,train,target_crosses_split,2024-03-03
JP,accommodation_staycation,train,target_crosses_split,2024-03-10
JP,accommodation_staycation,train,target_crosses_split,2024-03-17
