market,category,split,retained
JP,accommodation_staycation,test,31
JP,accommodation_staycation,train,208
JP,accommodation_staycation,validation,31
JP,adventure_nature,test,31
JP,adventure_nature,train,208
JP,adventure_nature,validation,31
JP,coastal_island,test,31
JP,coastal_island,train,208
JP,coastal_island,validation,31
JP,culinary_gastronomy,test,31
JP,culinary_gastronomy,train,208
JP,culinary_gastronomy,validation,31
JP,cultural_heritage,test,31
JP,cultural_heritage,train,208
JP,cultural_heritage,validation,31
JP,theme_parks_entertainment,test,31
JP,theme_parks_entertainment,train,208
JP,theme_parks_entertainment,validation,31
JP,urban_city,test,31
JP,urban_city,train,208
JP,urban_city,validation,31
KR,accommodation_staycation,test,31
KR,accommodation_staycation,train,208
KR,accommodation_staycation,validation,31
KR,adventure_nature,test,31
KR,adventure_nature,train,208
KR,adventure_nature,validation,31
KR,coastal_island,test,31
KR,coastal_island,train,208
KR,coastal_island,validation,31
KR,culinary_gastronomy,test,31
KR,culinary_gastronomy,train,208
KR,culinary_gastronomy,validation,31
KR,cultural_heritage,test,31
KR,cultural_heritage,train,208
KR,cultural_heritage,validation,31
KR,theme_parks_entertainment,test,31
KR,theme_parks_entertainment,train,208
KR,theme_parks_entertainment,validation,31
KR,urban_city,test,31
KR,urban_city,train,208
KR,urban_city,validation,31
US,accommodation_staycation,test,31
US,accommodation_staycation,train,208
US,accommodation_staycation,validation,31
US,adventure_nature,test,31
US,adventure_nature,train,208
US,adventure_nature,validation,31
US,coastal_island,test,31
US,coastal_island,train,208
US,coastal_island,validation,31
US,culinary_gastronomy,test,31
US,culinary_gastronomy,train,208
US,culinary_gastronomy,validation,31
US,cultural_heritage,test,31
US,cultural_heritage,train,208
US,cultural_heritage,validation,31
US,theme_parks_entertainment,test,31
US,theme_parks_entertainment,train,208
US,theme_parks_entertainment,validation,31
US,urban_city,test,31
US,urban_city,train,208
US,urban_city,validation,31
