market,category,split,array_index,history_start,origin_week,forecast_origin,target_start,target_end,dataset_version,dataset_status
JP,accommodation_staycation,train,0,2014-12-28,2015-12-20,2015-12-27 00:00:00+00:00,2015-12-27,2016-03-13,demand-v2-provisional,provisional
JP,accommodation_staycation,train,1,2015-01-04,2015-12-27,2016-01-03 00:00:00+00:00,2016-01-03,2016-03-20,demand-v2-provisional,provisional
JP,accommodation_staycation,train,2,2015-01-11,2016-01-03,2016-01-10 00:00:00+00:00,2016-01-10,2016-03-27,demand-v2-provisional,provisional
JP,accommodation_staycation,train,3,2015-01-18,2016-01-10,2016-01-17 00:00:00+00:00,2016-01-17,2016-04-03,demand-v2-provisional,provisional
JP,accommodation_staycation,train,4,2015-01-25,2016-01-17,2016-01-24 00:00:00+00:00,2016-01-24,2016-04-10,demand-v2-provisional,provisional
JP,accommodation_staycation,train,5,2015-02-01,2016-01-24,2016-01-31 00:00:00+00:00,2016-01-31,2016-04-17,demand-v2-provisional,provisional
JP,accommodation_staycation,train,6,2015-02-08,2016-01-31,2016-02-07 00:00:00+00:00,2016-02-07,2016-04-24,demand-v2-provisional,provisional
JP,accommodation_staycation,train,7,2015-02-15,2016-02-07,2016-02-14 00:00:00+00:00,2016-02-14,2016-05-01,demand-v2-provisional,provisional
JP,accommodation_staycation,train,8,2015-02-22,2016-02-14,2016-02-21 00:00:00+00:00,2016-02-21,2016-05-08,demand-v2-provisional,provisional
JP,accommodation_staycation,train,9,2015-03-01,2016-02-21,2016-02-28 00:00:00+00:00,2016-02-28,2016-05-15,demand-v2-provisional,provisional
JP,accommodation_staycation,train,10,2015-03-08,2016-02-28,2016-03-06 00:00:00+00:00,2016-03-06,2016-05-22,demand-v2-provisional,provisional
JP,accommodation_staycation,train,11,2015-03-15,2016-03-06,2016-03-13 00:00:00+00:00,2016-03-13,2016-05-29,demand-v2-provisional,provisional
JP,accommodation_staycation,train,12,2015-03-22,2016-03-13,2016-03-20 00:00:00+00:00,2016-03-20,2016-06-05,demand-v2-provisional,provisional
JP,accommodation_staycation,train,13,2015-03-29,2016-03-20,2016-03-27 00:00:00+00:00,2016-03-27,2016-06-12,demand-v2-provisional,provisional
JP,accommodation_staycation,train,14,2015-04-05,2016-03-27,2016-04-03 00:00:00+00:00,2016-04-03,2016-06-19,demand-v2-provisional,provisional
JP,accommodation_staycation,train,15,2015-04-12,2016-04-03,2016-04-10 00:00:00+00:00,2016-04-10,2016-06-26,demand-v2-provisional,provisional
JP,accommodation_staycation,train,16,2015-04-19,2016-04-10,2016-04-17 00:00:00+00:00,2016-04-17,2016-07-03,demand-v2-provisional,provisional
JP,accommodation_staycation,train,17,2015-04-26,2016-04-17,2016-04-24 00:00:00+00:00,2016-04-24,2016-07-10,demand-v2-provisional,provisional
JP,accommodation_staycation,train,18,2015-05-03,2016-04-24,2016-05-01 00:00:00+00:00,2016-05-01,2016-07-17,demand-v2-provisional,provisional
