market,category,week_start,source_file,trend_index,invalid_record,trend_observed,cutoff,segment,split,category_definition_version
JP,accommodation_staycation,2014-12-28,data/trends_weekly_japan_by_category.csv,45.89,False,True,2015-01-04 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-01-04,data/trends_weekly_japan_by_category.csv,46.56,False,True,2015-01-11 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-01-11,data/trends_weekly_japan_by_category.csv,49.44,False,True,2015-01-18 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-01-18,data/trends_weekly_japan_by_category.csv,46.33,False,True,2015-01-25 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-01-25,data/trends_weekly_japan_by_category.csv,45.67,False,True,2015-02-01 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-02-01,data/trends_weekly_japan_by_category.csv,45.67,False,True,2015-02-08 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-02-08,data/trends_weekly_japan_by_category.csv,48.44,False,True,2015-02-15 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-02-15,data/trends_weekly_japan_by_category.csv,49.0,False,True,2015-02-22 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-02-22,data/trends_weekly_japan_by_category.csv,47.44,False,True,2015-03-01 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-03-01,data/trends_weekly_japan_by_category.csv,49.33,False,True,2015-03-08 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-03-08,data/trends_weekly_japan_by_category.csv,49.22,False,True,2015-03-15 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-03-15,data/trends_weekly_japan_by_category.csv,50.44,False,True,2015-03-22 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-03-22,data/trends_weekly_japan_by_category.csv,49.0,False,True,2015-03-29 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-03-29,data/trends_weekly_japan_by_category.csv,45.56,False,True,2015-04-05 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-04-05,data/trends_weekly_japan_by_category.csv,46.22,False,True,2015-04-12 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-04-12,data/trends_weekly_japan_by_category.csv,48.89,False,True,2015-04-19 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-04-19,data/trends_weekly_japan_by_category.csv,51.56,False,True,2015-04-26 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-04-26,data/trends_weekly_japan_by_category.csv,60.0,False,True,2015-05-03 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-05-03,data/trends_weekly_japan_by_category.csv,57.33,False,True,2015-05-10 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-05-10,data/trends_weekly_japan_by_category.csv,48.67,False,True,2015-05-17 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-05-17,data/trends_weekly_japan_by_category.csv,49.56,False,True,2015-05-24 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-05-24,data/trends_weekly_japan_by_category.csv,48.78,False,True,2015-05-31 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-05-31,data/trends_weekly_japan_by_category.csv,50.44,False,True,2015-06-07 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-06-07,data/trends_weekly_japan_by_category.csv,50.89,False,True,2015-06-14 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-06-14,data/trends_weekly_japan_by_category.csv,54.33,False,True,2015-06-21 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-06-21,data/trends_weekly_japan_by_category.csv,54.22,False,True,2015-06-28 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-06-28,data/trends_weekly_japan_by_category.csv,57.0,False,True,2015-07-05 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-07-05,data/trends_weekly_japan_by_category.csv,60.78,False,True,2015-07-12 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-07-12,data/trends_weekly_japan_by_category.csv,66.89,False,True,2015-07-19 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-07-19,data/trends_weekly_japan_by_category.csv,71.33,False,True,2015-07-26 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-07-26,data/trends_weekly_japan_by_category.csv,74.22,False,True,2015-08-02 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-08-02,data/trends_weekly_japan_by_category.csv,78.0,False,True,2015-08-09 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-08-09,data/trends_weekly_japan_by_category.csv,84.44,False,True,2015-08-16 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-08-16,data/trends_weekly_japan_by_category.csv,73.0,False,True,2015-08-23 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-08-23,data/trends_weekly_japan_by_category.csv,67.33,False,True,2015-08-30 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-08-30,data/trends_weekly_japan_by_category.csv,65.11,False,True,2015-09-06 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-09-06,data/trends_weekly_japan_by_category.csv,61.56,False,True,2015-09-13 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-09-13,data/trends_weekly_japan_by_category.csv,64.67,False,True,2015-09-20 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-09-20,data/trends_weekly_japan_by_category.csv,63.44,False,True,2015-09-27 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-09-27,data/trends_weekly_japan_by_category.csv,51.33,False,True,2015-10-04 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-10-04,data/trends_weekly_japan_by_category.csv,54.22,False,True,2015-10-11 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-10-11,data/trends_weekly_japan_by_category.csv,55.11,False,True,2015-10-18 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-10-18,data/trends_weekly_japan_by_category.csv,51.11,False,True,2015-10-25 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-10-25,data/trends_weekly_japan_by_category.csv,49.67,False,True,2015-11-01 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-11-01,data/trends_weekly_japan_by_category.csv,51.44,False,True,2015-11-08 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-11-08,data/trends_weekly_japan_by_category.csv,52.11,False,True,2015-11-15 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-11-15,data/trends_weekly_japan_by_category.csv,49.89,False,True,2015-11-22 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-11-22,data/trends_weekly_japan_by_category.csv,46.56,False,True,2015-11-29 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-11-29,data/trends_weekly_japan_by_category.csv,45.89,False,True,2015-12-06 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-12-06,data/trends_weekly_japan_by_category.csv,45.11,False,True,2015-12-13 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-12-13,data/trends_weekly_japan_by_category.csv,46.78,False,True,2015-12-20 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-12-20,data/trends_weekly_japan_by_category.csv,45.11,False,True,2015-12-27 00:00:00+00:00,0,train,
JP,accommodation_staycation,2015-12-27,data/trends_weekly_japan_by_category.csv,49.33,False,True,2016-01-03 00:00:00+00:00,0,train,
JP,accommodation_staycation,2016-01-03,data/trends_weekly_japan_by_category.csv,50.78,False,True,2016-01-10 00:00:00+00:00,0,train,
JP,accommodation_staycation,2016-01-10,data/trends_weekly_japan_by_category.csv,49.89,False,True,2016-01-17 00:00:00+00:00,0,train,
JP,accommodation_staycation,2016-01-17,data/trends_weekly_japan_by_category.csv,48.44,False,True,2016-01-24 00:00:00+00:00,0,train,
JP,accommodation_staycation,2016-01-24,data/trends_weekly_japan_by_category.csv,49.22,False,True,2016-01-31 00:00:00+00:00,0,train,
JP,accommodation_staycation,2016-01-31,data/trends_weekly_japan_by_category.csv,50.89,False,True,2016-02-07 00:00:00+00:00,0,train,
JP,accommodation_staycation,2016-02-07,data/trends_weekly_japan_by_category.csv,50.89,False,True,2016-02-14 00:00:00+00:00,0,train,
JP,accommodation_staycation,2016-02-14,data/trends_weekly_japan_by_category.csv,52.22,False,True,2016-02-21 00:00:00+00:00,0,train,
JP,accommodation_staycation,2016-02-21,data/trends_weekly_japan_by_category.csv,52.44,False,True,2016-02-28 00:00:00+00:00,0,train,
JP,accommodation_staycation,2016-02-28,data/trends_weekly_japan_by_category.csv,52.89,False,True,2016-03-06 00:00:00+00:00,0,train,
JP,accommodation_staycation,2016-03-06,data/trends_weekly_japan_by_category.csv,56.0,False,True,2016-03-13 00:00:00+00:00,0,train,
